Column HVPS,B2 Beam Blanker,B2 Bias,B2 Extractor,B2 Filament,B2 Gun Lens,B2 Main Lens,B2 Suppressor,B3 Beam Blanker,B3 Bias,B3 Extractor,B3 Filament,B3 Gun Lens,B3 Main Lens,B3 Suppressor,B4 Beam Blanker,B4 Bias,B4 Extractor,B4 Filament,B4 Gun Lens,B4 Main Lens,B4 Suppressor,C2 Beam Blanker,C2 Bias,C2 Extractor,C2 Filament,C2 Gun Lens,C2 Main Lens,C2 Suppressor,C3 Beam Blanker,C3 Bias,C3 Extractor,C3 Filament,C3 Gun Lens,C3 Main Lens,C3 Suppressor,C4 Beam Blanker,C4 Bias,C4 Extractor,C4 Filament,C4 Gun Lens,C4 Main Lens,C4 Suppressor,D2 Beam Blanker,D2 Bias,D2 Extractor,D2 Filament,D2 Gun Lens,D2 Main Lens,D2 Suppressor,D3 Beam Blanker,D3 Bias,D3 Extractor,D3 Filament,D3 Gun Lens,D3 Main Lens,D3 Suppressor,D4 Beam Blanker,D4 Bias,D4 Extractor,D4 Filament,D4 Gun Lens,D4 Main Lens,D4 Suppressor
B2 Beam Blanker,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
B2 Bias,0,0.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
B2 Extractor,0,1.0,0.0,0,4.0,0,13.0,0,1.0,2.0,0,1.0,0.0,1.0,0,3.0,0.0,0,9.0,0,0.0,0,2.0,2.0,0,2.0,0.0,1.0,0.0,0.0,1.0,0,2.0,0,1.0,0,0.0,3.0,0,1.0,0,0.0,0,0.0,1.0,0,3.0,0,3.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
B2 Filament,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
B2 Gun Lens,0,0.0,4.0,0,0.0,0,2.0,0,1.0,1.0,0,2.0,1.0,0.0,0,1.0,0.0,0,3.0,0,0.0,0,3.0,0.0,0,1.0,1.0,0.0,0.0,0.0,3.0,0,3.0,0,2.0,0,0.0,1.0,0,1.0,0,0.0,0,0.0,1.0,0,3.0,0,2.0,0,0.0,1.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
B2 Main Lens,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
B2 Suppressor,0,0.0,14.0,0,2.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,6.0,0,0.0,0,2.0,2.0,0,2.0,0.0,1.0,0.0,0.0,1.0,0,2.0,0,1.0,0,0.0,1.0,0,0.0,0,0.0,0,0.0,1.0,0,3.0,0,3.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
B3 Beam Blanker,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
B3 Bias,0,0.0,1.0,0,1.0,0,0.0,0,0.0,2.0,0,1.0,0.0,0.0,0,1.0,0.0,0,1.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
B3 Extractor,0,0.0,2.0,0,1.0,0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,0,3.0,2.0,0,3.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,2.0,0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
B3 Filament,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
B3 Gun Lens,0,0.0,1.0,0,2.0,0,0.0,0,1.0,1.0,0,0.0,1.0,0.0,0,1.0,0.0,0,3.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
B3 Main Lens,0,0.0,0.0,0,1.0,0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0,1.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
B3 Suppressor,0,0.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0,2.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0
