Arc Time,Arc Component,Chamber Pressure Delta
2024-08-05 20:02:33,B3 Gun Lens,9.709999999999999e-08
2024-08-05 20:02:34,B3 Bias,9.709999999999999e-08
2024-08-07 14:06:23,B2 Gun Lens,7.940000000000004e-08
2024-08-07 14:06:24,B2 Suppressor,7.940000000000004e-08
2024-08-07 14:06:23,B2 Main Lens,7.940000000000004e-08
2024-08-07 14:06:24,B2 Bias,7.940000000000004e-08
2024-08-07 14:06:24,B2 Extractor,7.940000000000004e-08
2024-08-05 21:41:55,D2 Gun Lens,6.189999999999999e-08
2024-08-05 21:41:55,D2 Bias,6.189999999999999e-08
2024-08-07 14:25:02,D3 Bias,6.030000000000008e-08
2024-08-07 14:25:02,D3 Gun Lens,6.030000000000008e-08
2024-08-05 14:50:30,C4 Bias,5.720000000000006e-08
2024-08-05 15:28:00,B3 Gun Lens,3.620000000000002e-08
2024-08-05 15:28:00,C2 Bias,3.620000000000002e-08
2024-08-05 15:28:00,B3 Extractor,3.620000000000002e-08
2024-08-05 15:28:00,B2 Bias,3.620000000000002e-08
2024-08-06 09:43:31,D2 Bias,3.609999999999996e-08
2024-08-06 09:43:32,C3 Gun Lens,3.609999999999996e-08
2024-08-05 10:58:20,B3 Extractor,2.8999999999999955e-08
2024-08-05 10:58:20,B4 Bias,2.8999999999999955e-08
2024-08-06 05:42:38,D4 Bias,2.4099999999999905e-08
2024-08-06 05:42:39,D4 Gun Lens,2.4099999999999905e-08
2024-08-06 05:42:38,D4 Suppressor,2.4099999999999905e-08
2024-08-07 16:03:13,B4 Gun Lens,2.239999999999999e-08
2024-08-07 16:03:14,B2 Gun Lens,2.239999999999999e-08
2024-08-06 00:30:28,D4 Bias,2.119999999999995e-08
2024-08-06 00:30:28,D4 Gun Lens,2.119999999999995e-08
2024-08-06 00:30:27,D4 Suppressor,2.119999999999995e-08
2024-08-06 00:30:27,D4 Extractor,2.119999999999995e-08
2024-08-06 07:54:33,D4 Gun Lens,1.8299999999999945e-08
2024-08-06 07:54:32,C4 Extractor,1.8299999999999945e-08
2024-08-06 07:54:33,C4 Gun Lens,1.8299999999999945e-08
2024-08-06 07:54:33,D4 Bias,1.8299999999999945e-08
2024-08-06 07:54:33,C4 Suppressor,1.8299999999999945e-08
2024-08-07 17:17:25,C4 Extractor,1.8200000000000097e-08
2024-08-07 17:17:25,C4 Suppressor,1.8200000000000097e-08
2024-08-06 07:25:13,C4 Extractor,1.7500000000000044e-08
2024-08-06 07:25:12,C4 Gun Lens,1.7500000000000044e-08
2024-08-06 07:25:12,D4 Bias,1.7500000000000044e-08
2024-08-06 07:25:13,D4 Gun Lens,1.7500000000000044e-08
2024-08-07 16:50:44,B4 Gun Lens,1.7400000000000037e-08
2024-08-05 16:17:16,D2 Bias,1.6400000000000015e-08
2024-08-06 10:14:15,D2 Gun Lens,1.4100000000000053e-08
2024-08-06 10:14:14,D2 Bias,1.4100000000000053e-08
2024-08-06 07:46:37,B4 Extractor,1.369999999999997e-08
2024-08-06 07:46:37,B3 Gun Lens,1.369999999999997e-08
2024-08-06 07:46:36,B3 Extractor,1.369999999999997e-08
2024-08-06 05:57:29,B2 Gun Lens,1.2399999999999979e-08
2024-08-06 05:57:29,C2 Gun Lens,1.2399999999999979e-08
2024-08-06 05:31:40,C2 Extractor,1.2299999999999971e-08
2024-08-06 05:31:40,B2 Gun Lens,1.2299999999999971e-08
2024-08-06 02:36:49,D2 Suppressor,1.1500000000000017e-08
2024-08-05 16:44:37,D4 Bias,1.140000000000001e-08
2024-08-05 16:44:36,D4 Gun Lens,1.140000000000001e-08
2024-08-06 00:31:10,B2 Gun Lens,1.0600000000000002e-08
2024-08-06 00:31:09,B3 Extractor,1.0600000000000002e-08
2024-08-06 00:31:10,B4 Suppressor,1.0600000000000002e-08
2024-08-06 00:31:10,B3 Gun Lens,1.0600000000000002e-08
2024-08-05 12:30:49,B3 Suppressor,9.999999999999957e-09
2024-08-05 12:30:50,B3 Gun Lens,9.999999999999957e-09
2024-08-05 12:30:49,B3 Extractor,9.999999999999957e-09
2024-08-06 04:24:31,B3 Extractor,9.900000000000003e-09
2024-08-05 12:33:03,C4 Bias,9.799999999999942e-09
2024-08-05 12:33:03,C4 Main Lens,9.799999999999942e-09
2024-08-05 12:33:02,C4 Gun Lens,9.799999999999942e-09
2024-08-05 12:33:04,C4 Beam Blanker,9.799999999999942e-09
2024-08-05 21:37:55,D4 Suppressor,9.400000000000018e-09
2024-08-05 14:20:13,B4 Gun Lens,9.400000000000018e-09
