Arc Time,Arc Component,Column Pressure Delta
2024-08-05 12:40:39,D4 Suppressor,5.0512e-08
2024-08-05 12:40:39,D4 Bias,5.0512e-08
2024-08-05 11:45:13,B3 Bias,3.267e-08
2024-08-05 11:45:13,B4 Bias,3.267e-08
2024-08-05 11:45:13,D4 Suppressor,3.267e-08
2024-08-05 11:45:13,D3 Gun Lens,3.267e-08
2024-08-05 11:45:14,D3 Bias,3.267e-08
2024-08-05 11:45:13,C4 Bias,3.267e-08
2024-08-05 11:45:14,D4 Bias,3.267e-08
2024-08-05 15:28:00,C2 Bias,3.00184e-08
2024-08-05 15:28:00,B3 Extractor,3.00184e-08
2024-08-05 15:28:00,B3 Gun Lens,3.00184e-08
2024-08-05 15:28:00,B2 Bias,3.00184e-08
2024-08-05 12:24:30,D4 Bias,2.9595e-08
2024-08-05 16:17:16,D2 Bias,2.4189e-08
2024-08-05 11:46:01,D3 Bias,1.2982e-08
2024-08-05 13:19:35,D4 Bias,1.1246e-08
2024-08-05 13:19:35,D4 Suppressor,1.1246e-08
2024-08-05 11:44:30,C4 Gun Lens,5.057e-09
2024-08-05 11:44:30,D4 Extractor,5.057e-09
2024-08-05 11:44:31,C4 Suppressor,5.057e-09
2024-08-05 11:44:30,D4 Gun Lens,5.057e-09
2024-08-05 11:44:30,C4 Extractor,5.057e-09
2024-08-05 11:44:30,D4 Bias,5.057e-09
2024-08-05 11:44:30,D4 Main Lens,5.057e-09
2024-08-05 11:44:31,D4 Suppressor,5.057e-09
2024-08-05 11:44:31,D3 Extractor,5.057e-09
2024-08-06 09:43:31,D2 Bias,3.9169e-09
2024-08-06 09:43:32,C3 Gun Lens,3.9169e-09
2024-08-06 10:14:15,D2 Gun Lens,3.6516e-09
2024-08-06 10:14:14,D2 Bias,3.6516e-09
2024-08-05 14:50:30,C4 Bias,3.5809999999999995e-09
2024-08-07 14:25:02,D3 Gun Lens,1.9159999999999996e-09
2024-08-07 14:25:02,D3 Bias,1.9159999999999996e-09
2024-08-05 10:58:20,B3 Extractor,1.882e-09
2024-08-05 10:58:20,B4 Bias,1.882e-09
2024-08-05 16:11:30,D2 Bias,1.6710000000000001e-09
2024-08-05 13:00:26,D4 Bias,1.6229999999999999e-09
2024-08-05 20:21:06,D4 Gun Lens,1.57e-09
2024-08-05 20:15:45,B4 Bias,1.2578e-09
2024-08-05 20:15:41,B4 Bias,1.2578e-09
2024-08-05 11:44:08,D4 Bias,1.0799999999999998e-09
2024-08-05 11:44:07,C4 Suppressor,1.0799999999999998e-09
2024-08-05 11:44:08,C4 Gun Lens,1.0799999999999998e-09
2024-08-05 11:44:07,C4 Extractor,1.0799999999999998e-09
2024-08-05 20:02:34,B3 Bias,8.268000000000003e-10
2024-08-05 20:02:33,B3 Gun Lens,8.268000000000003e-10
2024-08-05 12:33:03,C4 Main Lens,6.799999999999999e-10
2024-08-05 12:33:03,C4 Bias,6.799999999999999e-10
2024-08-05 12:33:04,C4 Beam Blanker,6.799999999999999e-10
2024-08-05 12:33:02,C4 Gun Lens,6.799999999999999e-10
2024-08-06 05:42:38,D4 Bias,5.172999999999999e-10
2024-08-06 05:42:39,D4 Gun Lens,5.172999999999999e-10
2024-08-06 05:42:38,D4 Suppressor,5.172999999999999e-10
2024-08-05 12:26:17,D4 Bias,2.8800000000000025e-10
2024-08-05 12:26:17,C4 Gun Lens,2.8800000000000025e-10
2024-08-05 12:26:16,D4 Gun Lens,2.8800000000000025e-10
2024-08-05 12:26:16,C4 Extractor,2.8800000000000025e-10
2024-08-07 14:06:23,B2 Main Lens,2.410000000000001e-10
2024-08-07 14:06:24,B2 Suppressor,2.410000000000001e-10
2024-08-07 14:06:24,B2 Extractor,2.410000000000001e-10
2024-08-07 14:06:23,B2 Gun Lens,2.410000000000001e-10
2024-08-07 14:06:24,B2 Bias,2.410000000000001e-10
2024-08-06 00:30:27,D4 Suppressor,1.9809999999999997e-10
2024-08-06 00:30:28,D4 Bias,1.9809999999999997e-10
2024-08-06 00:30:27,D4 Extractor,1.9809999999999997e-10
2024-08-06 00:30:28,D4 Gun Lens,1.9809999999999997e-10
2024-08-05 17:31:57,B4 Gun Lens,1.8999999999999996e-10
2024-08-05 21:41:55,D2 Gun Lens,1.7750000000000006e-10
2024-08-05 21:41:55,D2 Bias,1.7750000000000006e-10
2024-08-05 13:05:49,B4 Gun Lens,1.5600000000000008e-10
2024-08-05 19:22:40,D2 Suppressor,1.5350000000000014e-10
2024-08-06 05:06:58,D2 Gun Lens,1.4940000000000013e-10
2024-08-06 05:06:59,D2 Suppressor,1.4940000000000013e-10
2024-08-07 16:50:44,B4 Gun Lens,1.4199999999999992e-10
2024-08-06 08:38:08,C4 Bias,1.3880000000000008e-10
2024-08-06 08:38:07,C4 Suppressor,1.3880000000000008e-10
2024-08-06 08:38:08,C4 Extractor,1.3880000000000008e-10
2024-08-05 12:30:50,B3 Gun Lens,1.3799999999999994e-10
2024-08-05 12:30:49,B3 Extractor,1.3799999999999994e-10
2024-08-05 12:30:49,B3 Suppressor,1.3799999999999994e-10
2024-08-05 18:41:42,B3 Bias,1.3300000000000006e-10
2024-08-05 18:41:43,B3 Gun Lens,1.3300000000000006e-10
2024-08-05 18:41:42,B3 Suppressor,1.3300000000000006e-10
2024-08-06 11:19:13,C4 Extractor,1.2789999999999994e-10
2024-08-05 13:22:36,C4 Gun Lens,1.2e-10
2024-08-05 13:22:35,C4 Suppressor,1.2e-10
2024-08-05 13:22:35,C4 Extractor,1.2e-10
2024-08-05 13:22:35,C4 Bias,1.2e-10
2024-08-06 07:54:33,D4 Bias,1.192999999999999e-10
2024-08-06 07:54:33,C4 Gun Lens,1.192999999999999e-10
2024-08-06 07:54:33,C4 Suppressor,1.192999999999999e-10
2024-08-06 07:54:33,D4 Gun Lens,1.192999999999999e-10
2024-08-06 07:54:32,C4 Extractor,1.192999999999999e-10
2024-08-06 07:46:36,B3 Extractor,1.1549999999999996e-10
2024-08-06 07:46:37,B4 Extractor,1.1549999999999996e-10
2024-08-06 07:46:37,B3 Gun Lens,1.1549999999999996e-10
2024-08-06 10:50:33,D2 Gun Lens,1.1309999999999995e-10
2024-08-06 10:50:34,D2 Suppressor,1.1309999999999995e-10
2024-08-06 11:19:14,C4 Suppressor,1.1269999999999993e-10
2024-08-06 11:19:14,C4 Gun Lens,1.1269999999999993e-10
2024-08-06 11:55:09,B4 Gun Lens,1.0969999999999994e-10
2024-08-06 11:55:09,B3 Extractor,1.0969999999999994e-10
2024-08-06 11:55:09,B3 Gun Lens,1.0969999999999994e-10
2024-08-05 21:37:55,C4 Bias,1.0690000000000012e-10
2024-08-05 21:37:55,C4 Extractor,1.0690000000000012e-10
2024-08-05 21:37:55,D4 Suppressor,1.0690000000000012e-10
2024-08-05 21:37:59,B3 Extractor,1.045e-10
2024-08-05 21:37:59,B4 Gun Lens,1.045e-10
2024-08-06 04:24:31,B3 Extractor,9.920000000000013e-11
2024-08-05 19:13:55,B2 Gun Lens,9.899999999999997e-11
2024-08-05 16:44:36,D4 Gun Lens,9.799999999999987e-11
2024-08-05 16:44:37,D4 Bias,9.799999999999987e-11
2024-08-07 17:17:25,C4 Suppressor,9.599999999999988e-11
2024-08-07 17:17:25,C4 Extractor,9.599999999999988e-11
2024-08-05 14:20:13,B4 Gun Lens,8.850000000000006e-11
2024-08-07 16:03:14,B2 Gun Lens,8.500000000000022e-11
2024-08-07 16:03:13,B4 Gun Lens,8.500000000000022e-11
2024-08-06 02:36:49,D2 Suppressor,8.130000000000012e-11
2024-08-05 20:47:08,D2 Suppressor,7.850000000000009e-11
2024-08-05 20:47:08,D2 Gun Lens,7.850000000000009e-11
2024-08-06 07:25:13,C4 Extractor,7.779999999999998e-11
2024-08-06 07:25:12,D4 Bias,7.779999999999998e-11
2024-08-06 07:25:12,C4 Gun Lens,7.779999999999998e-11
2024-08-06 07:25:13,D4 Gun Lens,7.779999999999998e-11
2024-08-06 05:57:29,B2 Gun Lens,7.580000000000009e-11
2024-08-06 05:57:29,C2 Gun Lens,7.580000000000009e-11
2024-08-06 01:21:36,C4 Extractor,7.44999999999999e-11
2024-08-06 01:21:36,C4 Suppressor,7.44999999999999e-11
2024-08-06 01:21:36,C4 Bias,7.44999999999999e-11
2024-08-05 21:37:54,C4 Suppressor,7.270000000000017e-11
